DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PL,2016-01-01,62.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PT,2016-01-01,62.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RO,2016-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RS,2016-01-01,42.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RU,2016-01-01,29.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SE,2016-01-01,88.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SI,2016-01-01,61.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SK,2016-01-01,51.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,TR,2016-01-01,41.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,UK,2016-01-01,81.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,US,2016-01-01,74.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,XK,2016-01-01,36.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AL,2017-01-01,38.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AT,2017-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BA,2017-01-01,38.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BE,2017-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BG,2017-01-01,43.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CH,2017-01-01,85.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CY,2017-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,CZ,2017-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DE,2017-01-01,81.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,DK,2017-01-01,88.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EA21,2017-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EE,2017-01-01,71.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EL,2017-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ES,2017-01-01,57.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,EU27_2020,2017-01-01,64.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FI,2017-01-01,85.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,FR,2017-01-01,70.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HR,2017-01-01,49.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,HU,2017-01-01,45.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IE,2017-01-01,74.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IS,2017-01-01,77.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,IT,2017-01-01,50.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,JP,2017-01-01,73.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,KR,2017-01-01,54.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LT,2017-01-01,59.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LU,2017-01-01,82.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,LV,2017-01-01,58.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,ME,2017-01-01,46.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MK,2017-01-01,35.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,MT,2017-01-01,56.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NL,2017-01-01,82.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,NO,2017-01-01,85.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PL,2017-01-01,60.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,PT,2017-01-01,63.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RO,2017-01-01,48.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RS,2017-01-01,41.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,RU,2017-01-01,29.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SE,2017-01-01,84.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SI,2017-01-01,61.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,SK,2017-01-01,50.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,TR,2017-01-01,40.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,UK,2017-01-01,82.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,US,2017-01-01,75.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,XK,2017-01-01,39.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AL,2018-01-01,36.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,AT,2018-01-01,76.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BA,2018-01-01,38.0,,
ESTAT:SDG_16_50(1.0),04/03/26 23:00:00,A,SC,BE,2018-01-01,75.0,,
