DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LV,2018-01-01,47.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,MT,2018-01-01,45.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,NL,2018-01-01,79.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PL,2018-01-01,42.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PT,2018-01-01,50.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,RO,2018-01-01,47.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SE,2018-01-01,75.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SI,2018-01-01,33.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SK,2018-01-01,29.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,UK,2018-01-01,68.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,AT,2019-01-01,10.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BE,2019-01-01,25.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BG,2019-01-01,58.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CY,2019-01-01,24.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CZ,2019-01-01,36.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DE,2019-01-01,18.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DK,2019-01-01,6.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EE,2019-01-01,15.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EL,2019-01-01,34.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,ES,2019-01-01,55.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EU27_2020,2019-01-01,35.0,e,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,FI,2019-01-01,10.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,FR,2019-01-01,31.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,HR,2019-01-01,76.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,HU,2019-01-01,33.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,IE,2019-01-01,19.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,IT,2019-01-01,46.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LT,2019-01-01,27.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LU,2019-01-01,10.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LV,2019-01-01,42.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,MT,2019-01-01,25.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,NL,2019-01-01,15.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,PL,2019-01-01,50.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,PT,2019-01-01,46.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,RO,2019-01-01,44.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SE,2019-01-01,13.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SI,2019-01-01,47.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SK,2019-01-01,60.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,UK,2019-01-01,19.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,AT,2019-01-01,83.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,BE,2019-01-01,62.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,BG,2019-01-01,34.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,CY,2019-01-01,59.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,CZ,2019-01-01,51.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,DE,2019-01-01,74.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,DK,2019-01-01,87.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EE,2019-01-01,55.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EL,2019-01-01,57.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,ES,2019-01-01,37.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EU27_2020,2019-01-01,54.0,e,
