DATAFLOW,LAST UPDATE,freq,iccs,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,AL,2016-01-01,0.35,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,AT,2016-01-01,0.66,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,BE,2016-01-01,2.14,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,BG,2016-01-01,0.94,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,CH,2016-01-01,0.84,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,CY,2016-01-01,0.0,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,CZ,2016-01-01,0.1,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,DE,2016-01-01,0.69,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,EL,2016-01-01,3.76,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,ES,2016-01-01,2.61,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,FI,2016-01-01,0.04,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,FR,2016-01-01,2.01,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,HR,2016-01-01,0.41,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,IT,2016-01-01,1.29,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,LI,2016-01-01,2.66,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,LT,2016-01-01,0.0,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,LU,2016-01-01,3.82,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,ME,2016-01-01,4.34,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,MT,2016-01-01,0.0,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,PL,2016-01-01,1.28,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,PT,2016-01-01,0.1,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,RO,2016-01-01,5.32,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,SI,2016-01-01,0.05,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,SK,2016-01-01,0.11,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,TR,2016-01-01,8.44,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS09051,P_HTHAB,XK,2016-01-01,0.28,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,AL,2017-01-01,40.12,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,AT,2017-01-01,36.58,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,BE,2017-01-01,40.49,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,BG,2017-01-01,3.28,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,CH,2017-01-01,40.25,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,CY,2017-01-01,3.63,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,CZ,2017-01-01,25.74,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,DE,2017-01-01,4.67,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,DK,2017-01-01,64.66,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,EE,2017-01-01,22.12,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,EL,2017-01-01,8.38,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,ES,2017-01-01,2.42,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,FI,2017-01-01,64.78,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,FR,2017-01-01,2.94,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,HR,2017-01-01,18.32,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,HU,2017-01-01,13.07,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,IE,2017-01-01,0.08,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,IT,2017-01-01,5.9,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LI,2017-01-01,15.87,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LT,2017-01-01,26.3,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LU,2017-01-01,0.17,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,LV,2017-01-01,9.49,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,ME,2017-01-01,12.21,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,MT,2017-01-01,0.65,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,NL,2017-01-01,39.46,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,NO,2017-01-01,1.56,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,PL,2017-01-01,19.53,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,PT,2017-01-01,1.71,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,RO,2017-01-01,27.67,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,RS,2017-01-01,21.31,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,SE,2017-01-01,211.05,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,SI,2017-01-01,47.0,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS0703,P_HTHAB,SK,2017-01-01,3.07,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07031,P_HTHAB,AL,2017-01-01,10.32,,
ESTAT:CRIM_OFF_CAT(1.0),29/04/26 11:00:00,A,ICCS07031,P_HTHAB,AT,2017-01-01,0.34,,
