DATAFLOW,LAST UPDATE,freq,unit,worktime,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,PT,2013-01-01,12.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,SE,2013-01-01,12.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,SK,2013-01-01,18.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,FT,UK,2013-01-01,15.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,BE,2013-01-01,4.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,BG,2013-01-01,0.1,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,CH,2013-01-01,14.1,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,DE,2013-01-01,2.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,DK,2013-01-01,6.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,ES,2013-01-01,28.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,FI,2013-01-01,14.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,HR,2013-01-01,23.8,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,HU,2013-01-01,9.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,IE,2013-01-01,11.2,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,IS,2013-01-01,5.3,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,IT,2013-01-01,-7.5,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,LT,2013-01-01,1.7,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,LV,2013-01-01,6.4,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,MT,2013-01-01,-1.9,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,NL,2013-01-01,4.1,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,NO,2013-01-01,-1.6,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,PL,2013-01-01,12.1,,
ESTAT:EARN_GR_GPGR2WT(1.0),24/02/26 23:00:00,A,PC,PT,PT,2013-01-01,27.8,,
