DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,UK,2013-01-01,1770,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,AT,2014-01-01,430,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BE,2014-01-01,745,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,BG,2014-01-01,661,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CH,2014-01-01,243,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CY,2014-01-01,45,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,CZ,2014-01-01,688,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,DE,2014-01-01,3377,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,DK,2014-01-01,182,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EE,2014-01-01,78,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EL,2014-01-01,795,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,ES,2014-01-01,1688,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,EU27_2020,2014-01-01,24136,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FI,2014-01-01,229,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,FR,2014-01-01,3380,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HR,2014-01-01,308,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,HU,2014-01-01,626,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IE,2014-01-01,192,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IS,2014-01-01,4,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,IT,2014-01-01,3381,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LI,2014-01-01,3,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LT,2014-01-01,267,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LU,2014-01-01,35,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,LV,2014-01-01,212,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,MT,2014-01-01,10,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NL,2014-01-01,476,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,NO,2014-01-01,147,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PL,2014-01-01,3202,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,PT,2014-01-01,638,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,RO,2014-01-01,1818,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SE,2014-01-01,270,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SI,2014-01-01,108,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,SK,2014-01-01,295,,
ESTAT:SDG_11_40(1.0),13/01/26 11:00:00,A,TOTAL,NR,UK,2014-01-01,1854,,
