DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,SE,2017-01-01,2.2,e,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,SI,2017-01-01,0.28,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,SK,2017-01-01,1.69,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,TR,2017-01-01,14.01,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,UK,2017-01-01,15.01,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,US,2017-01-01,43.55,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,AT,2018-01-01,0.18,d,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BA,2018-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BE,2018-01-01,0.1,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,BG,2018-01-01,0.73,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CH,2018-01-01,0.35,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CY,2018-01-01,0.0,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,CZ,2018-01-01,1.17,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DE,2018-01-01,3.25,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,DK,2018-01-01,0.31,,
ESTAT:TSC00008(1.0),29/01/26 23:00:00,A,NABS14,PC_GBA,EA20,2018-01-01,,,C
