DATAFLOW,LAST UPDATE,freq,sex,isced11,iscedf13,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,IT,2017-01-01,39.4,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LI,2017-01-01,47.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LT,2017-01-01,29.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LU,2017-01-01,23.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,LV,2017-01-01,31.1,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,ME,2017-01-01,,d,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MK,2017-01-01,47.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,MT,2017-01-01,27.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NL,2017-01-01,29.3,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,NO,2017-01-01,28.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PL,2017-01-01,43.4,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,PT,2017-01-01,37.8,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RO,2017-01-01,41.6,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,RS,2017-01-01,39.7,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SE,2017-01-01,35.5,,
ESTAT:TPS00217(1.0),08/04/26 23:00:00,A,F,ED5-8,F05_06_07,PC,SI,2017-01-01,33.3,,
