DATAFLOW,LAST UPDATE,freq,border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2018-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2018-01-01,221515.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2018-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2018-01-01,13180.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2018-01-01,221520.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2018-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2018-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2018-01-01,1915.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2018-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2018-01-01,345.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2018-01-01,1975.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2018-01-01,1345.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2019-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2019-01-01,483285.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2019-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2019-01-01,6365.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2019-01-01,483455.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2019-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2019-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2019-01-01,1405.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2019-01-01,30.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2019-01-01,205.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2019-01-01,1505.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2019-01-01,1840.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2020-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2020-01-01,155.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2020-01-01,2400.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2020-01-01,225.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2020-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2020-01-01,235.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2020-01-01,20.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2020-01-01,60.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2020-01-01,240.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2020-01-01,1075.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2021-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2021-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,IT,2021-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2021-01-01,2150.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2021-01-01,80.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,IT,2021-01-01,30.0,,
