DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,applicant,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2009-11-01,1865.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2009-12-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2009-12-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2009-12-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2009-12-01,890.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2009-12-01,175.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2009-12-01,655.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2010-01-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2010-01-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2010-01-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2010-01-01,650.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2010-01-01,175.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2010-01-01,1010.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2010-02-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2010-02-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2010-02-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2010-02-01,745.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2010-02-01,230.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2010-02-01,675.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2010-03-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2010-03-01,15.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2010-03-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2010-03-01,800.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2010-03-01,225.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2010-03-01,1035.0,,
