DATAFLOW,LAST UPDATE,freq,unit,sex,age,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,CY,2015-01-01,14.4,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,CZ,2015-01-01,297.6,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,DE,2015-01-01,1958.2,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,DK,2015-01-01,122.9,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,EA21,2015-01-01,7474.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,EE,2015-01-01,46.7,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,EL,2015-01-01,168.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,ES,2015-01-01,870.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,EU27_2020,2015-01-01,9826.4,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,FI,2015-01-01,137.2,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,FR,2015-01-01,1474.9,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,HR,2015-01-01,101.4,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,HU,2015-01-01,266.8,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,IE,2015-01-01,88.8,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,IS,2015-01-01,11.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,IT,2015-01-01,1033.0,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,LT,2015-01-01,100.1,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,LU,2015-01-01,10.2,b,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,LV,2015-01-01,85.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,ME,2015-01-01,13.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,MK,2015-01-01,35.7,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,MT,2015-01-01,9.5,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,NL,2015-01-01,356.1,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,NO,2015-01-01,144.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,PL,2015-01-01,944.4,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,PT,2015-01-01,173.0,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,RO,2015-01-01,475.3,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,RS,2015-01-01,130.2,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,SE,2015-01-01,245.0,,
ESTAT:LFSA_EGAN2(1.0),17/04/26 11:00:00,A,THS_PER,T,Y_GE15,H,SI,2015-01-01,45.3,,
