DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,LT,2000-01-01,67.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,LU,2000-01-01,80.8,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,LV,2000-01-01,68.6,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,MT,2000-01-01,81.6,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,NL,2000-01-01,84.2,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,NO,2000-01-01,84.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,PL,2000-01-01,67.9,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,PT,2000-01-01,82.1,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,RO,2000-01-01,76.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,SE,2000-01-01,78.2,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,SI,2000-01-01,72.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,SK,2000-01-01,69.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,M,Y20-64,TOTAL,UK,2000-01-01,81.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,AT,2000-01-01,67.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,BE,2000-01-01,60.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,BG,2000-01-01,51.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,CH,2000-01-01,78.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,CY,2000-01-01,65.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,CZ,2000-01-01,64.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,DE,2000-01-01,65.3,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,DK,2000-01-01,76.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,EE,2000-01-01,60.9,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,EL,2000-01-01,56.6,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,ES,2000-01-01,56.1,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,FI,2000-01-01,68.1,b,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,FR,2000-01-01,61.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,HU,2000-01-01,55.9,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,IE,2000-01-01,64.5,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,IS,2000-01-01,87.1,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,IT,2000-01-01,53.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,LT,2000-01-01,59.6,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,LU,2000-01-01,62.7,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,LV,2000-01-01,57.4,,
ESTAT:LFSA_ERGAN(1.0),17/04/26 11:00:00,A,PC,T,Y15-64,TOTAL,MT,2000-01-01,54.5,,
