DATAFLOW,LAST UPDATE,freq,frequenc,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,BE,2007-01-01,28.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,BG,2007-01-01,33.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,CY,2007-01-01,33.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,CZ,2007-01-01,26.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,EE,2007-01-01,24.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,EL,2007-01-01,36.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,ES,2007-01-01,26.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,FI,2007-01-01,8.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,HR,2007-01-01,26.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,HU,2007-01-01,24.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,LT,2007-01-01,30.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,LV,2007-01-01,30.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,MT,2007-01-01,35.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,PL,2007-01-01,39.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,PT,2007-01-01,29.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,RO,2007-01-01,33.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,SI,2007-01-01,24.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1W,M,PC,SK,2007-01-01,23.8,,
